LONGITUDE,LATITUDE,Painted,SIGNNAME,BOROUGH,FountainCo,TYPE,DESCRIPTION,FEATURESTA
-73.91019192,40.74735874,no,Lawrence Virgilio Playground,Q,1,A, Under Tree Just Outside Playground,Active
-73.8052067,40.73623137,no,Electric Playground,Q,1,A, Out in Open,Active
-74.08754251,40.57100781,yes,Franklin D. Roosevelt Boardwalk and Beach,R,1,A, Out in Open,Active
-74.08997209,40.63926087,no,Jones Woods Park,R,1,D, Under Tree,Active
-73.97273629,40.72237191,yes,John V. Lindsay East River Park,M,1,E,Wheelchair Near Ballfield,Active
-73.92370872,40.703877,yes,Maria Hernandez Park,B,1,A, Near Ballfield,Active
-73.82510497,40.84842752,no,Pelham Bay Park,X,1,E,Wheelchair In Playground,Active
-73.78830235,40.87027334,yes,Pelham Bay Park,X,1,A, Out in Open,Active
-73.9060005,40.87199823,no,Riverbend Playground,X,1,C, In Playground Under Tree,Active
-73.83858289,40.74635133,yes,Flushing Meadows Corona Park,Q,1,A, Under Tree,Active
-73.78052005,40.69260468,no,St. Albans Park,Q,1,D, Near Ballfield,Active
-73.90405111,40.84532084,yes,Cleopatra Playground,X,1,A, Under Tree In Playground,Active
-73.93587726,40.60866655,no,Marine Park,B,1,C, Just Outside Playground,Active
-73.87389307,40.82760139,yes,Bronx River Parkway,X,1,O,ther Near Ballfield,Active
-74.00111262,40.57213277,no,Coney Island Beach & Boardwalk,B,1,E,Wheelchair Out in Open,Active
-73.88051286,40.7209956,no,Juniper Valley Park,Q,1,A, Near Ballfield,Active
-74.19250698,40.59100142,yes,Sylvan Grove Cemetery,R,1,E,Wheelchair Out in Open,Active
-74.13466278,40.61984365,yes,Westerleigh Park,R,1,B, Out in Open,Active
-73.96914893,40.80440859,no,Riverside Park,M,1,A, Out in Open,Active
-74.01471545,40.70395442,yes,The Battery,M,1,E,Wheelchair Dog Under Tree,Active
-73.94047251,40.57753166,no,Manhattan Beach Park,B,1,C, In Playground,Active
-73.99534397,40.57834938,no,Kaiser Park,B,1,C, Out in Open In Playground,Active
-74.1519645,40.54688671,yes,Great Kills Park,R,1,A, In Playground,Active
